Year,Geography,Industry,Wage rates,Value
2012,"Total, Ontario regions",  Construction,Total employees,303.9
2013,"Total, Ontario regions",  Construction,Total employees,312.1
2014,"Total, Ontario regions",  Construction,Total employees,324.0
2015,"Total, Ontario regions",  Construction,Total employees,325.2
2001,"Total, Ontario regions",  Construction,Average hourly wage rate,19.44
2002,"Total, Ontario regions",  Construction,Average hourly wage rate,19.82
2003,"Total, Ontario regions",  Construction,Average hourly wage rate,20.09
2004,"Total, Ontario regions",  Construction,Average hourly wage rate,20.37
2005,"Total, Ontario regions",  Construction,Average hourly wage rate,21.24
2006,"Total, Ontario regions",  Construction,Average hourly wage rate,21.58
2007,"Total, Ontario regions",  Construction,Average hourly wage rate,22.16
2008,"Total, Ontario regions",  Construction,Average hourly wage rate,23.10
2009,"Total, Ontario regions",  Construction,Average hourly wage rate,23.75
2010,"Total, Ontario regions",  Construction,Average hourly wage rate,23.72
2011,"Total, Ontario regions",  Construction,Average hourly wage rate,24.34
2012,"Total, Ontario regions",  Construction,Average hourly wage rate,24.44
2013,"Total, Ontario regions",  Construction,Average hourly wage rate,25.22
2014,"Total, Ontario regions",  Construction,Average hourly wage rate,25.84
2015,"Total, Ontario regions",  Construction,Average hourly wage rate,27.36
2001,"Total, Ontario regions",  Construction,Average weekly wage rate,780.70
2002,"Total, Ontario regions",  Construction,Average weekly wage rate,799.59
2003,"Total, Ontario regions",  Construction,Average weekly wage rate,812.35
2004,"Total, Ontario regions",  Construction,Average weekly wage rate,825.65
2005,"Total, Ontario regions",  Construction,Average weekly wage rate,861.85
2006,"Total, Ontario regions",  Construction,Average weekly wage rate,870.95
2007,"Total, Ontario regions",  Construction,Average weekly wage rate,892.95
2008,"Total, Ontario regions",  Construction,Average weekly wage rate,930.58
2009,"Total, Ontario regions",  Construction,Average weekly wage rate,949.92
2010,"Total, Ontario regions",  Construction,Average weekly wage rate,956.52
2011,"Total, Ontario regions",  Construction,Average weekly wage rate,980.22
2012,"Total, Ontario regions",  Construction,Average weekly wage rate,988.12
2013,"Total, Ontario regions",  Construction,Average weekly wage rate,1017.00
2014,"Total, Ontario regions",  Construction,Average weekly wage rate,1037.91
2015,"Total, Ontario regions",  Construction,Average weekly wage rate,1107.26
2001,"Total, Ontario regions",  Construction,Median hourly wage rate,18.00
2002,"Total, Ontario regions",  Construction,Median hourly wage rate,18.40
2003,"Total, Ontario regions",  Construction,Median hourly wage rate,19.00
2004,"Total, Ontario regions",  Construction,Median hourly wage rate,19.23
2005,"Total, Ontario regions",  Construction,Median hourly wage rate,20.00
2006,"Total, Ontario regions",  Construction,Median hourly wage rate,20.00
2007,"Total, Ontario regions",  Construction,Median hourly wage rate,20.00
2008,"Total, Ontario regions",  Construction,Median hourly wage rate,21.00
2009,"Total, Ontario regions",  Construction,Median hourly wage rate,22.00
2010,"Total, Ontario regions",  Construction,Median hourly wage rate,22.00
2011,"Total, Ontario regions",  Construction,Median hourly wage rate,22.50
2012,"Total, Ontario regions",  Construction,Median hourly wage rate,23.00
2013,"Total, Ontario regions",  Construction,Median hourly wage rate,23.10
2014,"Total, Ontario regions",  Construction,Median hourly wage rate,24.04
2015,"Total, Ontario regions",  Construction,Median hourly wage rate,25.95
2001,"Total, Ontario regions",  Construction,Median weekly wage rate,744.18
2002,"Total, Ontario regions",  Construction,Median weekly wage rate,760.00
2003,"Total, Ontario regions",  Construction,Median weekly wage rate,769.20
2004,"Total, Ontario regions",  Construction,Median weekly wage rate,800.00
2005,"Total, Ontario regions",  Construction,Median weekly wage rate,807.60
2006,"Total, Ontario regions",  Construction,Median weekly wage rate,820.00
2007,"Total, Ontario regions",  Construction,Median weekly wage rate,840.00
2008,"Total, Ontario regions",  Construction,Median weekly wage rate,865.40
2009,"Total, Ontario regions",  Construction,Median weekly wage rate,895.44
2010,"Total, Ontario regions",  Construction,Median weekly wage rate,900.00
2011,"Total, Ontario regions",  Construction,Median weekly wage rate,935.63
2012,"Total, Ontario regions",  Construction,Median weekly wage rate,925.00
2013,"Total, Ontario regions",  Construction,Median weekly wage rate,960.00
2014,"Total, Ontario regions",  Construction,Median weekly wage rate,990.00
2015,"Total, Ontario regions",  Construction,Median weekly wage rate,1050.00
2001,"Total, Ontario regions",  Manufacturing,Total employees,1026.1
2002,"Total, Ontario regions",  Manufacturing,Total employees,1054.6
2003,"Total, Ontario regions",  Manufacturing,Total employees,1059.2
2004,"Total, Ontario regions",  Manufacturing,Total employees,1065.0
2005,"Total, Ontario regions",  Manufacturing,Total employees,1026.7
2006,"Total, Ontario regions",  Manufacturing,Total employees,960.6
2007,"Total, Ontario regions",  Manufacturing,Total employees,897.9
2008,"Total, Ontario regions",  Manufacturing,Total employees,832.8
2009,"Total, Ontario regions",  Manufacturing,Total employees,733.1
2010,"Total, Ontario regions",  Manufacturing,Total employees,723.3
2011,"Total, Ontario regions",  Manufacturing,Total employees,738.8
2012,"Total, Ontario regions",  Manufacturing,Total employees,751.4
2013,"Total, Ontario regions",  Manufacturing,Total employees,733.6
2014,"Total, Ontario regions",  Manufacturing,Total employees,718.1
2015,"Total, Ontario regions",  Manufacturing,Total employees,716.9
2001,"Total, Ontario regions",  Manufacturing,Average hourly wage rate,19.28
2002,"Total, Ontario regions",  Manufacturing,Average hourly wage rate,19.47
2003,"Total, Ontario regions",  Manufacturing,Average hourly wage rate,20.04
2004,"Total, Ontario regions",  Manufacturing,Average hourly wage rate,20.36
2005,"Total, Ontario regions",  Manufacturing,Average hourly wage rate,20.92
2006,"Total, Ontario regions",  Manufacturing,Average hourly wage rate,22.00
2007,"Total, Ontario regions",  Manufacturing,Average hourly wage rate,22.31
2008,"Total, Ontario regions",  Manufacturing,Average hourly wage rate,23.17
2009,"Total, Ontario regions",  Manufacturing,Average hourly wage rate,23.62
2010,"Total, Ontario regions",  Manufacturing,Average hourly wage rate,24.02
2011,"Total, Ontario regions",  Manufacturing,Average hourly wage rate,23.82
2012,"Total, Ontario regions",  Manufacturing,Average hourly wage rate,24.02
2013,"Total, Ontario regions",  Manufacturing,Average hourly wage rate,24.60
2014,"Total, Ontario regions",  Manufacturing,Average hourly wage rate,24.92
2015,"Total, Ontario regions",  Manufacturing,Average hourly wage rate,25.30
2001,"Total, Ontario regions",  Manufacturing,Average weekly wage rate,771.94
2002,"Total, Ontario regions",  Manufacturing,Average weekly wage rate,777.92
2003,"Total, Ontario regions",  Manufacturing,Average weekly wage rate,797.69
2004,"Total, Ontario regions",  Manufacturing,Average weekly wage rate,814.44
2005,"Total, Ontario regions",  Manufacturing,Average weekly wage rate,835.15
2006,"Total, Ontario regions",  Manufacturing,Average weekly wage rate,881.83
2007,"Total, Ontario regions",  Manufacturing,Average weekly wage rate,888.87
2008,"Total, Ontario regions",  Manufacturing,Average weekly wage rate,921.36
2009,"Total, Ontario regions",  Manufacturing,Average weekly wage rate,929.84
2010,"Total, Ontario regions",  Manufacturing,Average weekly wage rate,952.12
2011,"Total, Ontario regions",  Manufacturing,Average weekly wage rate,949.47
2012,"Total, Ontario regions",  Manufacturing,Average weekly wage rate,953.05
2013,"Total, Ontario regions",  Manufacturing,Average weekly wage rate,977.13
2014,"Total, Ontario regions",  Manufacturing,Average weekly wage rate,991.85
2015,"Total, Ontario regions",  Manufacturing,Average weekly wage rate,1007.25
2001,"Total, Ontario regions",  Manufacturing,Median hourly wage rate,17.50
2002,"Total, Ontario regions",  Manufacturing,Median hourly wage rate,18.00
2003,"Total, Ontario regions",  Manufacturing,Median hourly wage rate,18.03
2004,"Total, Ontario regions",  Manufacturing,Median hourly wage rate,18.27
2005,"Total, Ontario regions",  Manufacturing,Median hourly wage rate,19.08
2006,"Total, Ontario regions",  Manufacturing,Median hourly wage rate,19.79
2007,"Total, Ontario regions",  Manufacturing,Median hourly wage rate,20.00
2008,"Total, Ontario regions",  Manufacturing,Median hourly wage rate,20.88
2009,"Total, Ontario regions",  Manufacturing,Median hourly wage rate,21.00
2010,"Total, Ontario regions",  Manufacturing,Median hourly wage rate,21.20
2011,"Total, Ontario regions",  Manufacturing,Median hourly wage rate,21.30
2012,"Total, Ontario regions",  Manufacturing,Median hourly wage rate,21.15
2013,"Total, Ontario regions",  Manufacturing,Median hourly wage rate,21.66
2014,"Total, Ontario regions",  Manufacturing,Median hourly wage rate,22.00
2015,"Total, Ontario regions",  Manufacturing,Median hourly wage rate,22.00
2001,"Total, Ontario regions",  Manufacturing,Median weekly wage rate,704.00
2002,"Total, Ontario regions",  Manufacturing,Median weekly wage rate,720.00
2003,"Total, Ontario regions",  Manufacturing,Median weekly wage rate,724.50
2004,"Total, Ontario regions",  Manufacturing,Median weekly wage rate,732.92
2005,"Total, Ontario regions",  Manufacturing,Median weekly wage rate,765.00
2006,"Total, Ontario regions",  Manufacturing,Median weekly wage rate,796.00
2007,"Total, Ontario regions",  Manufacturing,Median weekly wage rate,800.00
2008,"Total, Ontario regions",  Manufacturing,Median weekly wage rate,833.20
2009,"Total, Ontario regions",  Manufacturing,Median weekly wage rate,840.00
2010,"Total, Ontario regions",  Manufacturing,Median weekly wage rate,846.00
2011,"Total, Ontario regions",  Manufacturing,Median weekly wage rate,850.00
2012,"Total, Ontario regions",  Manufacturing,Median weekly wage rate,840.00
2013,"Total, Ontario regions",  Manufacturing,Median weekly wage rate,865.50
2014,"Total, Ontario regions",  Manufacturing,Median weekly wage rate,880.00
2015,"Total, Ontario regions",  Manufacturing,Median weekly wage rate,880.00
2001,"Total, Ontario regions",Services-producing sector,Total employees,3678.1
2002,"Total, Ontario regions",Services-producing sector,Total employees,3745.6
2003,"Total, Ontario regions",Services-producing sector,Total employees,3867.5
2004,"Total, Ontario regions",Services-producing sector,Total employees,3949.9
2005,"Total, Ontario regions",Services-producing sector,Total employees,4032.8
2006,"Total, Ontario regions",Services-producing sector,Total employees,4151.3
2007,"Total, Ontario regions",Services-producing sector,Total employees,4262.2
2008,"Total, Ontario regions",Services-producing sector,Total employees,4345.0
2009,"Total, Ontario regions",Services-producing sector,Total employees,4294.9
2010,"Total, Ontario regions",Services-producing sector,Total employees,4376.0
2011,"Total, Ontario regions",Services-producing sector,Total employees,4457.8
2012,"Total, Ontario regions",Services-producing sector,Total employees,4481.1
2013,"Total, Ontario regions",Services-producing sector,Total employees,4596.4
2014,"Total, Ontario regions",Services-producing sector,Total employees,4662.8
2015,"Total, Ontario regions",Services-producing sector,Total employees,4668.8
2001,"Total, Ontario regions",Services-producing sector,Average hourly wage rate,17.70
2002,"Total, Ontario regions",Services-producing sector,Average hourly wage rate,18.09
2003,"Total, Ontario regions",Services-producing sector,Average hourly wage rate,18.39
2004,"Total, Ontario regions",Services-producing sector,Average hourly wage rate,18.99
2005,"Total, Ontario regions",Services-producing sector,Average hourly wage rate,19.64
2006,"Total, Ontario regions",Services-producing sector,Average hourly wage rate,20.17
2007,"Total, Ontario regions",Services-producing sector,Average hourly wage rate,20.84
2008,"Total, Ontario regions",Services-producing sector,Average hourly wage rate,21.69
2009,"Total, Ontario regions",Services-producing sector,Average hourly wage rate,22.34
2010,"Total, Ontario regions",Services-producing sector,Average hourly wage rate,22.78
2011,"Total, Ontario regions",Services-producing sector,Average hourly wage rate,23.34
2012,"Total, Ontario regions",Services-producing sector,Average hourly wage rate,23.98
2013,"Total, Ontario regions",Services-producing sector,Average hourly wage rate,24.30
2014,"Total, Ontario regions",Services-producing sector,Average hourly wage rate,24.60
2015,"Total, Ontario regions",Services-producing sector,Average hourly wage rate,25.39
2001,"Total, Ontario regions",Services-producing sector,Average weekly wage rate,641.86
2002,"Total, Ontario regions",Services-producing sector,Average weekly wage rate,652.90
2003,"Total, Ontario regions",Services-producing sector,Average weekly wage rate,662.45
2004,"Total, Ontario regions",Services-producing sector,Average weekly wage rate,682.72
2005,"Total, Ontario regions",Services-producing sector,Average weekly wage rate,707.43
